year,strategy,calendar_return,rank
2020,Nostra AI V5.246,1.014816888348209,7
2021,Nostra AI V5.246,0.9344737670114132,2
2022,Nostra AI V5.246,-0.10086882731698488,2
2023,Nostra AI V5.246,0.8272665604532492,6
2024,Nostra AI V5.246,0.9223428672487384,6
2025,Nostra AI V5.246,0.05692926242752394,2
2026,Nostra AI V5.246,-0.011301710194349668,4
2020,Bitcoin passif,2.0995528986749763,1
2021,Bitcoin passif,0.5978952157803306,4
2022,Bitcoin passif,-0.6420705572611564,12
2023,Bitcoin passif,1.5560728793887457,2
2024,Bitcoin passif,1.2130576455447022,2
2025,Bitcoin passif,-0.06334722578437879,9
2026,Bitcoin passif,-0.2320665496686607,11
2020,Allocation constante 50 %,0.8033339229806034,9
2021,Allocation constante 50 %,0.37167409967711684,7
2022,Allocation constante 50 %,-0.36975956122909626,6
2023,Allocation constante 50 %,0.6375446563176639,9
2024,Allocation constante 50 %,0.5404675994249293,11
2025,Allocation constante 50 %,-0.01101213656314426,5
2026,Allocation constante 50 %,-0.11178575807141589,6
2020,Momentum 30 j,1.8058195218954367,3
2021,Momentum 30 j,0.8320961473988218,3
2022,Momentum 30 j,-0.422501716335154,7
2023,Momentum 30 j,1.558961271845356,1
2024,Momentum 30 j,0.3100096605360254,12
2025,Momentum 30 j,-0.06020755290395874,8
2026,Momentum 30 j,-0.2085953223752015,9
2020,Momentum 60 j,1.8124887629738158,2
2021,Momentum 60 j,1.312486912473398,1
2022,Momentum 60 j,-0.46864647543418003,9
2023,Momentum 60 j,1.0315397383668663,5
2024,Momentum 60 j,0.554419613523347,10
2025,Momentum 60 j,0.04075787401377062,3
2026,Momentum 60 j,-0.11854408695382634,7
2020,Momentum 90 j,1.4949689926133658,6
2021,Momentum 90 j,0.4496622493468714,5
2022,Momentum 90 j,-0.3560919202091505,5
2023,Momentum 90 j,0.5677398423299829,10
2024,Momentum 90 j,0.9523292611853662,5
2025,Momentum 90 j,0.12964241750539296,1
2026,Momentum 90 j,-0.16472457701779752,8
2020,Momentum 180 j,0.8861678207976913,8
2021,Momentum 180 j,0.12089877130033799,10
2022,Momentum 180 j,-0.18259650371681801,4
2023,Momentum 180 j,0.4431818898891382,11
2024,Momentum 180 j,0.9015028340233224,8
2025,Momentum 180 j,0.00993114319954791,4
2026,Momentum 180 j,0.0,2
2020,Momentum 270 j,0.0,11
2021,Momentum 270 j,0.02843019655553647,11
2022,Momentum 270 j,-0.15060711577296382,3
2023,Momentum 270 j,0.7492397368708328,7
2024,Momentum 270 j,1.2130576455446986,3
2025,Momentum 270 j,-0.03453729479184331,6
2026,Momentum 270 j,0.06606793783148213,1
2020,Moyennes mobiles 50/200,0.5868509023192734,10
2021,Moyennes mobiles 50/200,0.17234695151305535,9
2022,Moyennes mobiles 50/200,-0.07063688349702124,1
2023,Moyennes mobiles 50/200,0.35347766679431514,12
2024,Moyennes mobiles 50/200,0.9177034274291866,7
2025,Moyennes mobiles 50/200,-0.2914850388817688,12
2026,Moyennes mobiles 50/200,0.0,2
2020,Ciblage de volatilité 14 j,1.5595835445942545,5
2021,Ciblage de volatilité 14 j,0.42359284374451955,6
2022,Ciblage de volatilité 14 j,-0.5500515576535967,10
2023,Ciblage de volatilité 14 j,1.3343397261472205,4
2024,Ciblage de volatilité 14 j,1.0984178451639974,4
2025,Ciblage de volatilité 14 j,-0.05981228017115425,7
2026,Ciblage de volatilité 14 j,-0.24628069699932775,12
2020,Ciblage de volatilité 30 j,1.595692655765062,4
2021,Ciblage de volatilité 30 j,0.3327365332432637,8
2022,Ciblage de volatilité 30 j,-0.6029479045228114,11
2023,Ciblage de volatilité 30 j,1.3663952073272703,3
2024,Ciblage de volatilité 30 j,1.2192825822815876,1
2025,Ciblage de volatilité 30 j,-0.06803066358139687,10
2026,Ciblage de volatilité 30 j,-0.23104675942798392,10
2020,HMM gaussien 3 états,0.0,11
2021,HMM gaussien 3 états,0.0,12
2022,HMM gaussien 3 états,-0.44484114865022284,8
2023,HMM gaussien 3 états,0.7428673186229517,8
2024,HMM gaussien 3 états,0.5913571688133414,9
2025,HMM gaussien 3 états,-0.11391665694203235,11
2026,HMM gaussien 3 états,-0.10623679774193517,5
